ticker,date,high,low,open,close,volume,adj_close
A,2022-05-20,125.58000183105469,122.44000244140625,124.02999877929688,125.12999725341797,2594600.0,125.12999725341797
A,2022-05-23,126.47000122070312,123.76000213623047,126.44999694824219,125.9800033569336,1804642.0,125.9800033569336
AA,2022-05-19,64.47000122070312,60.11000061035156,60.15999984741211,62.04999923706055,6751700.0,62.04999923706055
AA,2022-05-20,63.75,58.5099983215332,63.060001373291016,60.56999969482422,8738400.0,60.56999969482422
AA,2022-05-23,63.650001525878906,59.880001068115234,62.29999923706055,63.13999938964844,6214327.0,63.13999938964844
AAL,2022-05-20,17.15999984741211,15.829999923706055,17.059999465942383,16.260000228881836,34047300.0,16.260000228881836
AAL,2022-05-23,16.855899810791016,16.139999389648438,16.43000030517578,16.75,24486032.0,16.75
AAON,2022-05-20,51.58000183105469,49.58000183105469,51.0099983215332,51.56999969482422,314400.0,51.56999969482422
AAON,2022-05-23,52.68000030517578,49.88909912109375,52.15999984741211,51.310001373291016,201817.0,51.310001373291016
AAP,2022-05-20,197.5500030517578,176.72000122070312,197.5500030517578,181.88999938964844,1918800.0,181.88999938964844
AAP,2022-05-23,184.70989990234375,176.77999877929688,182.07000732421875,183.24000549316406,1551835.0,183.24000549316406
AAPL,2022-05-20,140.6999969482422,132.61000061035156,139.08999633789062,137.58999633789062,137194600.0,137.58999633789062
AAPL,2022-05-23,143.25999450683594,137.860107421875,137.7899932861328,143.11000061035156,113076177.0,143.11000061035156
AAWW,2022-05-20,67.81999969482422,62.869998931884766,67.68000030517578,65.0199966430664,743100.0,65.0199966430664
AAWW,2022-05-23,67.69000244140625,65.5999984741211,66.1500015258789,66.95999908447266,509665.0,66.95999908447266
AB,2022-05-20,39.400001525878906,38.33000183105469,38.86000061035156,39.04999923706055,416800.0,39.04999923706055
AB,2022-05-23,40.970001220703125,39.25,39.25,39.72999954223633,454985.0,39.72999954223633
ABB,2022-05-20,29.719999313354492,28.969999313354492,29.700000762939453,29.5,2693200.0,29.5
ABB,2022-05-23,30.155000686645508,29.65999984741211,29.829999923706055,30.040000915527344,1928030.0,30.040000915527344
ABBV,2022-05-20,153.52000427246094,147.80999755859375,152.3300018310547,151.00999450683594,6746000.0,151.00999450683594
ABBV,2022-05-23,152.0,147.19000244140625,151.64999389648438,148.02999877929688,6245014.0,148.02999877929688
ABC,2022-05-20,151.67999267578125,148.0800018310547,149.58999633789062,150.17999267578125,2242800.0,150.17999267578125
ABC,2022-05-23,153.9250030517578,150.72000122070312,151.91000366210938,152.6999969482422,927637.0,152.6999969482422
ABCB,2022-05-19,43.099998474121094,42.15999984741211,42.16999816894531,42.38999938964844,589000.0,42.38999938964844
ABCB,2022-05-20,43.09000015258789,41.7400016784668,42.689998626708984,43.0099983215332,456500.0,43.0099983215332
ABCB,2022-05-23,44.15999984741211,43.060001373291016,43.70000076293945,43.61000061035156,331872.0,43.61000061035156
ABCM,2022-05-20,14.529999732971191,14.260000228881836,14.300000190734863,14.510000228881836,89500.0,14.510000228881836
ABCM,2022-05-23,14.9350004196167,14.670000076293945,14.729999542236328,14.880000114440918,309839.0,14.880000114440918
ABG,2022-05-20,180.69000244140625,165.0399932861328,180.69000244140625,170.9600067138672,311200.0,170.9600067138672
ABG,2022-05-23,172.4499969482422,164.60000610351562,171.02999877929688,166.3300018310547,284480.0,166.3300018310547
ABM,2022-05-20,45.52000045776367,44.310001373291016,45.380001068115234,45.45000076293945,507700.0,45.45000076293945
ABM,2022-05-23,46.38999938964844,45.540000915527344,46.22999954223633,45.93000030517578,413065.0,45.93000030517578
ABMD,2022-05-20,242.42999267578125,226.4600067138672,241.05999755859375,235.75,515400.0,235.75
ABMD,2022-05-23,250.32000732421875,237.1999969482422,238.3000030517578,249.22000122070312,401446.0,249.22000122070312
ABNB,2022-05-20,116.25,108.5,115.45999908447266,112.55000305175781,6958300.0,112.55000305175781
ABNB,2022-05-23,115.11000061035156,110.93009948730469,113.54499816894531,113.27999877929688,5958214.0,113.27999877929688
ABR,2022-05-20,16.280000686645508,15.550000190734863,16.270000457763672,15.670000076293945,4664700.0,15.670000076293945
ABR,2022-05-23,16.184999465942383,15.725000381469727,15.760000228881836,16.110000610351562,2366490.0,16.110000610351562
ABT,2022-05-20,113.72000122070312,110.81999969482422,113.4000015258789,113.23999786376953,4495800.0,113.23999786376953
ABT,2022-05-23,115.36000061035156,112.94000244140625,113.8499984741211,115.02999877929688,3853766.0,115.02999877929688
ABTX,2022-05-20,38.529998779296875,37.630001068115234,38.529998779296875,38.36000061035156,53500.0,38.36000061035156
ABTX,2022-05-23,39.560001373291016,38.70000076293945,38.7400016784668,39.40999984741211,43321.0,39.40999984741211
ACA,2022-05-20,54.150001525878906,51.45000076293945,54.150001525878906,52.310001373291016,167900.0,52.310001373291016
ACA,2022-05-23,53.02000045776367,51.54999923706055,52.72999954223633,51.7400016784668,167183.0,51.7400016784668
ACAD,2022-05-20,17.209999084472656,16.260000228881836,17.010000228881836,17.110000610351562,1308500.0,17.110000610351562
ACAD,2022-05-23,17.43000030517578,16.479999542236328,17.329999923706055,16.790000915527344,1160816.0,16.790000915527344
ACBI,2022-03-09,32.34000015258789,32.34000015258789,32.34000015258789,32.34000015258789,0.0,32.34000015258789
ACDI,2022-05-20,9.979999542236328,9.979999542236328,9.979999542236328,9.979999542236328,0.0,9.979999542236328
ACEL,2022-05-20,10.520000457763672,10.109999656677246,10.460000038146973,10.3100004196167,179800.0,10.3100004196167
